time stamp,Bruska_wind speed,Bruska_wind direction,Bruska_air density,Zelengrad_wind speed,Zelengrad_wind direction,Zelengrad_air density,Bruska_active power output,Bruska_normally operating number
2018-01-01 00:00:00,9.363334,172.79999,1.21,10.635238,165.28897,1.207,21.608133316040043,14.0
2018-01-01 01:00:00,9.266666,174.9999,1.21,10.261664,166.09566,1.207,21.05085995992024,14.0
2018-01-01 02:00:00,9.586667,174.19984,1.209,13.286666,161.92586,1.207,21.257929992675777,14.0
2018-01-01 03:00:00,9.32,167.53835,1.208,14.7771435,159.17044,1.206,20.700976816813142,14.0
2018-01-01 04:00:00,9.267742,160.9163,1.207,11.447466,151.64941,1.205,20.33159668214859,14.0
2018-01-01 05:00:00,9.447224,156.49992,1.206,6.9007936,135.96718,1.203,20.61335288153755,14.0
2018-01-01 06:00:00,10.113334,156.83319,1.205,4.597857,101.66697,1.202,23.23069661458334,14.0
2018-01-01 07:00:00,10.79,154.33282,1.203,7.4921427,111.09006,1.201,24.52157675425211,13.0
2018-01-01 08:00:00,10.400002,150.0001,1.201,8.784762,116.32642,1.199,26.02241331736247,15.0
2018-01-01 09:00:00,9.816668,148.22217,1.199,10.744286,121.19638,1.197,26.14611988067628,16.0
2018-01-01 10:00:00,10.386666,150.44443,1.196,11.446429,138.76936,1.194,28.766650009155285,16.0
2018-01-01 11:00:00,10.776667,147.83327,1.193,13.413571,136.55336,1.191,30.532980092366536,16.0
2018-01-01 12:00:00,12.420003,143.38461,1.191,15.164048,136.03407,1.188,33.541076532999675,16.0
2018-01-01 13:00:00,12.963332,141.19986,1.189,13.343096,128.57622,1.187,34.48288663228354,16.0
2018-01-01 14:00:00,12.69,142.9231,1.189,9.569048,118.98589,1.186,33.44569339752197,16.0
2018-01-01 15:00:00,11.83,143.38493,1.189,8.05738,118.52331,1.186,30.07597980499268,15.0
2018-01-01 16:00:00,10.723334,136.99997,1.19,10.612765,124.53586,1.187,26.95765342712402,14.0
2018-01-01 17:00:00,9.149999,139.50002,1.19,12.878094,132.34674,1.188,22.856439908345543,16.0
2018-01-01 18:00:00,8.106667,150.9107,1.19,8.829999,164.76051,1.188,17.478096659978235,16.0
2018-01-01 19:00:00,6.8566666,284.34702,1.19,5.035714,241.28487,1.187,11.090723292032871,16.0
2018-01-01 20:00:00,7.84,287.1566,1.191,7.177619,266.79373,1.188,15.934749921162938,16.0
2018-01-01 21:00:00,9.829032,292.4258,1.196,7.467281,264.45117,1.193,26.04496445194368,16.0
2018-01-01 22:00:00,9.158064,288.49963,1.2,6.654147,268.70224,1.197,21.048741925147283,15.0
2018-01-01 23:00:00,6.496667,287.9991,1.201,4.6135716,264.00842,1.199,8.899379936854043,15.0
